slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
valanjo01,Jonas Valančiūnas,CENTER,27,MEMPHIS GRIZZLIES,62,62,1630,385,657,29,79,123,168,190,506,109,25,69,107,159
valende01,Denzel Valentine,SMALL FORWARD,26,CHICAGO BULLS,36,5,488,97,237,46,137,6,8,9,65,43,26,6,26,51
vandeja01,Jarred Vanderbilt,SMALL FORWARD,20,DENVER NUGGETS,9,0,41,5,7,0,0,0,0,3,5,2,3,1,7,6
vandeja01,Jarred Vanderbilt,POWER FORWARD,20,MINNESOTA TIMBERWOLVES,2,0,5,0,1,0,1,2,2,0,1,0,0,0,0,0
vanvlfr01,Fred VanVleet,POINT GUARD,25,TORONTO RAPTORS,48,48,1719,287,701,131,338,140,166,18,162,317,91,13,110,118
vincega01,Gabe Vincent,POINT GUARD,23,MIAMI HEAT,6,0,42,4,19,4,16,0,0,0,3,3,1,0,0,2
vonleno01,Noah Vonleh,CENTER,24,MINNESOTA TIMBERWOLVES,29,1,347,47,86,2,14,23,28,34,82,26,11,6,19,36
vonleno01,Noah Vonleh,POWER FORWARD,24,DENVER NUGGETS,4,0,17,3,3,1,1,1,2,3,4,1,0,0,2,2
vucevni01,Nikola Vučević,CENTER,29,ORLANDO MAGIC,54,54,1763,428,910,82,249,114,146,130,466,202,46,47,77,121
wadede01,Dean Wade,POWER FORWARD,23,CLEVELAND CAVALIERS,12,0,71,9,13,2,4,0,1,3,16,2,2,4,3,8
wagnemo01,Moritz Wagner,CENTER,22,WASHINGTON WIZARDS,37,5,707,131,228,23,67,67,82,51,141,49,22,17,55,134
waitedi01,Dion Waiters,SHOOTING GUARD,28,MIAMI HEAT,3,0,42,10,26,8,17,0,1,0,11,3,0,2,3,5
walkeke02,Kemba Walker,POINT GUARD,29,BOSTON CELTICS,50,50,1592,350,832,165,438,195,225,33,171,247,47,25,107,77
walkelo01,Lonnie Walker,SHOOTING GUARD,21,SAN ANTONIO SPURS,53,4,767,116,267,29,71,38,53,20,95,46,28,13,31,70
wallaty01,Tyrone Wallace,SHOOTING GUARD,25,ATLANTA HAWKS,14,0,160,14,44,1,15,11,17,3,19,13,7,1,10,19
princta02,Taurean Prince,SMALL FORWARD,25,BROOKLYN NETS,64,61,1857,278,739,146,431,71,89,50,331,116,57,25,127,159
waltode01,Derrick Walton,POINT GUARD,24,LOS ANGELES CLIPPERS,23,1,222,17,36,9,21,7,9,2,13,22,4,0,4,19
waltode01,Derrick Walton,POINT GUARD,24,DETROIT PISTONS,3,0,26,1,3,1,3,0,0,0,1,5,3,0,1,2
wanambr01,Brad Wanamaker,POINT GUARD,30,BOSTON CELTICS,63,1,1215,136,318,33,90,108,116,19,105,158,52,12,70,120
warretj01,T.J. Warren,SMALL FORWARD,26,INDIANA PACERS,61,61,1984,460,869,69,184,151,186,61,181,87,70,27,77,170
washipj01,P.J. Washington,POWER FORWARD,21,CHARLOTTE HORNETS,58,57,1759,268,589,86,230,88,136,58,258,123,51,44,93,158
watanyu01,Yuta Watanabe,SHOOTING GUARD,25,MEMPHIS GRIZZLIES,16,0,99,12,29,3,8,3,8,6,11,4,5,1,2,9
watertr01,Tremont Waters,POINT GUARD,22,BOSTON CELTICS,10,0,89,12,35,3,17,6,6,0,9,12,5,2,10,11
watsopa01,Paul Watson,SHOOTING GUARD,25,ATLANTA HAWKS,2,0,17,0,7,0,3,0,0,0,2,3,1,0,0,1
watsopa01,Paul Watson,SMALL FORWARD,25,TORONTO RAPTORS,3,0,8,0,1,0,1,1,2,0,2,2,0,1,0,0
weathqu01,Quinndary Weatherspoon,SHOOTING GUARD,23,SAN ANTONIO SPURS,3,0,15,0,3,0,1,0,0,0,1,1,0,0,0,0
westbru01,Russell Westbrook,POINT GUARD,31,HOUSTON ROCKETS,53,53,1905,568,1199,51,201,269,346,94,332,370,88,17,236,187
whiteco01,Coby White,SHOOTING GUARD,19,CHICAGO BULLS,65,1,1674,312,792,133,376,102,129,28,202,175,49,6,109,117
whitede01,Derrick White,SHOOTING GUARD,25,SAN ANTONIO SPURS,61,13,1468,213,464,57,160,150,175,30,163,206,39,55,75,133
whiteha01,Hassan Whiteside,CENTER,30,PORTLAND TRAIL BLAZERS,61,61,1911,418,676,4,7,153,225,244,625,74,24,187,117,179
wiggian01,Andrew Wiggins,SMALL FORWARD,24,MINNESOTA TIMBERWOLVES,42,42,1455,351,790,91,275,149,207,48,171,155,29,36,107,101
wiggian01,Andrew Wiggins,SHOOTING GUARD,24,GOLDEN STATE WARRIORS,12,12,403,86,188,20,59,41,61,18,37,43,16,17,25,26
willigr01,Grant Williams,POWER FORWARD,21,BOSTON CELTICS,62,5,970,80,192,21,85,37,51,58,107,62,28,33,46,149
willijo04,Johnathan Williams,CENTER,24,WASHINGTON WIZARDS,11,5,135,16,25,0,2,3,5,15,28,6,1,6,4,11
willike04,Kenrich Williams,POWER FORWARD,25,NEW ORLEANS PELICANS,35,18,779,49,143,25,96,9,24,49,129,53,25,21,21,81
willilo02,Lou Williams,SHOOTING GUARD,33,LOS ANGELES CLIPPERS,60,8,1757,367,883,107,295,278,322,28,158,344,40,10,172,77
willima02,Marvin Williams,POWER FORWARD,33,CHARLOTTE HORNETS,41,1,808,94,210,44,117,43,50,15,94,41,26,22,25,71
willima02,Marvin Williams,POWER FORWARD,33,MILWAUKEE BUCKS,11,0,203,16,39,8,27,4,4,5,34,15,9,4,3,23
williro04,Robert Williams,CENTER,22,BOSTON CELTICS,23,1,323,42,62,0,0,14,25,34,74,22,20,28,20,40
willini01,Nigel Williams-Goss,POINT GUARD,25,UTAH JAZZ,9,0,28,1,7,0,2,2,2,2,3,5,1,1,2,2
willizi01,Zion Williamson,POWER FORWARD,19,NEW ORLEANS PELICANS,19,19,565,172,292,6,13,98,152,55,74,41,16,9,51,32
wilsodj01,D.J. Wilson,POWER FORWARD,23,MILWAUKEE BUCKS,31,0,280,40,101,14,55,6,9,10,58,22,2,5,15,26
winslju01,Justise Winslow,SMALL FORWARD,23,MIAMI HEAT,11,5,352,50,129,6,27,18,27,16,57,44,7,5,24,38
woodch01,Christian Wood,POWER FORWARD,24,DETROIT PISTONS,62,12,1325,288,508,54,140,180,242,104,286,60,34,54,84,98
wrighde01,Delon Wright,SHOOTING GUARD,27,DALLAS MAVERICKS,65,5,1412,179,381,45,117,71,90,66,193,220,76,21,68,83
wrighju02,Justin Wright-Foreman,POINT GUARD,22,UTAH JAZZ,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
youngth01,Thaddeus Young,POWER FORWARD,31,CHICAGO BULLS,64,16,1591,269,601,79,222,42,72,94,221,117,92,23,102,134
youngtr01,Trae Young,POINT GUARD,21,ATLANTA HAWKS,60,60,2120,546,1249,205,568,481,559,32,223,560,65,8,289,104
zelleco01,Cody Zeller,CENTER,27,CHARLOTTE HORNETS,58,39,1341,251,479,18,75,122,179,160,251,88,40,25,75,140
zizican01,Ante Žižić,CENTER,23,CLEVELAND CAVALIERS,22,0,221,41,72,0,0,14,19,18,48,6,7,5,10,27
zubaciv01,Ivica Zubac,CENTER,22,LOS ANGELES CLIPPERS,64,62,1156,202,336,0,2,107,141,166,295,69,13,60,53,146
